Question,Real Answer,Pred Answer
Who did the person portraying Batman in the Justice League movie play in Dazed and Confused?,Fred O'Bannion,"The person portraying Batman in the Justice League movie is Ben Affleck. In Dazed and Confused, Ben Affleck played the character of Wooderson."
"In Batman Under the Red Hood, who does the actor of Barney Stinson from How I Met Your Mother play?",Nightwing / Dick Grayson,Jason Todd / Red Hood
"What did the singer of ""Moon River"" in the movie Breakfast at Tiffany win a Tony for?",for Best Performance by a Leading Actress in a Play in Ondine,Audrey Hepburn won a Tony Award for Best Performance by a Leading Actress in a Play in Ondine.
Where is the headquarter of the Radio Television of the country whose co-official language is the same as the one Politika is written in?,Pristina,Pristina
What is the source of the river of which Kraai River is a tributary?,Thaba Putsoa,Kam River
Who played the girlfriend of Chance's voice actor in Homeward Bound in Back to the Future?,Claudia Wells,Lea Thompson
Who is the voice of the character in Spongebob Squarepants with the same name as the creature that annelid larvae live like?,Mr. Lawrence,Carolyn Lawrence
Between which years did war with the person for whom Pyrrhic victory is named occur?,323–272 BC,280 BC and 279 BC
MV Miralda's owner announced it was in the process of doing what in April 2010?,trying to find a potential buyer for all of its operations in Finland,selling its interests in four Nigerian oil fields
When did the Battle at Choo Hoey's birthplace end?,15 February 1942,"The passage does not provide specific information about the end date of a battle at Choo Hoey's birthplace, Palembang."
Who is the president of the newly declared independent country that is part of the Commission of Truth and Friendship with the country where Sumardi was born?,Francisco Guterres,Xanana Gusmão
Who wrote the song The Story sung by the performer of Give Up the Ghost?,Phil Hanseroth,Brandi Carlile
Where did they film The Beach in the country where Siddhi Savetsila was born?,Ko Phi Phi Leh,Thailand
Who is the author of Growing Up this nationality of the creator MacGruder and Loud?,Min Zhou,American
In which county did Snappy Tomato Pizza form?,Kenton County,Kentucky
What other recognition did the Oscar winner for Best Actor in 2006 receive?,nominated for an Academy Award for Best Supporting Actor,"The Oscar winner for Best Actor in 2006 was Geoffrey Rush for his role in ""Shine."" However, the passage provided does not mention any other recognition that Geoffrey Rush received."
What is the Smile performer's birthday?,1 January 1986,26 April 1564
What record label does the performer of Emotional Rain belong to?,Attic Records,Atlantic
When did the majority party in the House of Representatives gain control of the body which approves members of the Cabinet?,January 2015,2015
What is the manufacturer of the Kentucky Tavern headquarters location saints symbol called?,fleur - de-lis,Sazerac Company
In which county was Zhu Qinan born?,Yongjia County,Zhejiang
Who sings Home Alone Tonight with the Rain is a Good Thing singer?,Karen Fairchild,Karen Fairchild
What is the name of the castle in the city where the performer of Never Too Loud was formed?,Casa Loma,Casa Loma
Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Lana Wood,Tina Nicholson
What city is the star of 'Three Strangers in Rome' from?,La Goulette,Milan
What else happened in the northern part of Erich Zakowski's birthplace in the now Russian area?,names were replaced by new Russian names,"The northern part of Erich Zakowski's birthplace, East Prussia, was annexed by the Soviet Union after World War II and became the Kaliningrad Oblast. The German population was largely expelled, and the"
In which county is Southern Maryland Electric Cooperative headquartered?,Charles County,"Southern Maryland Electric Cooperative is headquartered in Charles County, Maryland, United States."
When did the party that controls the House of Representatives take control of the branch who determines the rules of the US house and Senate?,January 2015,"The passage provided does not contain information about when the party that controls the House of Representatives took control of the branch that determines the rules of the U.S. House and Senate. Therefore, based on the given passage, the answer"
What series of wins did the sports team that the all time highest goal scorer in spain national team was a member or achieve in 2009?,continental treble,The sports team that the all-time highest goal scorer in the Spain national team was a member of achieved the longest unbeaten run of 36 matches from 2007–09.
"In Grown Ups, who plays the wife of the actor who produced The Chosen One?",Joyce Van Patten,Maria Bello
Who does the performer of Don't Be Cruel play in the wire?,a Western District uniformed officer,"The performer of ""Don't Be Cruel"" is not mentioned in the provided passages about *The Wire*. Therefore, there is no character in *The Wire* played by the performer of ""Don't Be Cruel"""
When did Burroughs Corporation merge to form a new corporation?,1986,1986
"When did the country, whose co-official language was used by the director of Group Portrait with a Lady, first attend the Olympics as an independent team?",2016,1992
Who followed Menucha Rochel Slonim's father?,Menachem Mendel Schneersohn,Rabbi Menachem Mendel Schneersohn
Who started out his career on adult contemporary radio along with the performer of All That Echoes?,Michael Bublé,Barbara Streisand
Who is the head of the developer of Simon?,ADM Michael S. Rogers,Simon Simon
When was the last time the team that Terry Twell was a member of beat the 194-95 winner of the FA Cup?,1 December 2010,1982
Who is the father of the artist who painted Head I?,Nicholas Bacon,Francis Bacon
Where is the origin of the river Augrabies Falls is part of?,Thaba Putsoa,the Drakensberg mountains in Lesotho
The BBC Footballer of the Year is a member of which team?,Egypt national football team,The passage does not provide information about the BBC Footballer of the Year or their team.
Where was the person who acted in the film Sous les pieds des femmes born?,La Goulette,The passage provided does not mention the birthplace of the person who acted in the film Sous les pieds des femmes.
How many people were in British Colonies where does the london broil cut come from ?,2 million,2 million
Who is the spouse of the person who voices Jarvis in the Avengers Age of Ultron?,Jennifer Connelly,Lorraine Ashbourne
Which county shares a border with the county where the most populous city in the state where Redan High School is located?,Presque Isle County,Clarke County
The rapper who owns Aspiro was inspired by what when writing Song Cry?,three different relationships he had in the past,"The rapper who owns Aspiro was inspired by three different relationships he had in the past when writing ""Song Cry."""
What administrative territorial entity includes the place that KTRP is licensed to broadcast to?,Canyon County,"The administrative territorial entity that includes the place that KTRP is licensed to broadcast to is the community of Columbia, Missouri."
"In A League of Their Own, who played the husband of the actress who played Thelma in Thelma and Louise?",Bill Pullman,"Geena Davis played Thelma in Thelma and Louise, and her husband in the film was played by Michael Madsen."
What is the former name of the country where Atika Suri studied?,Dutch East Indies,India
What province shares a border with the province where Lago District is located?,Cabo Delgado Province,Arkhangelsk Oblast
Who published Communications of the organization that Andries van Dam is a member of?,Association for Computing Machinery,The Association for Computing Machinery (ACM) published Communications of the organization that Andries van Dam is a member of.
What county shares a border with Cedar Springs?,Bell County,Wolfe County
What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,"The administrative territorial entity that is the owner of Ciudad Deportiva is the municipality of Nuevo Laredo, located in the state of Tamaulipas, Mexico."
Who is the son of the Italian navigator who explored the eastern coast of the continent Ulises Solís' birthplace is located in for England?,Sebastian Cabot,Sebastian Cabot
Who played the monarch at the end of WW2 in The King's Speech?,Colin Firth,Colin Firth played the monarch at the end of WW2 in The King's Speech.
What is the place of birth of who does the voice of stan on the series that Insecurity is part of?,Denver,South Park
Where did they film The Beach in the country where Pao Sarasin was born?,Ko Phi Phi Leh,Thailand
What is the competition that the 1965 Federation Cup is part of named after?,International Tennis Federation,Billie Jean King
Who is the president of the newly declared independent country that is part of the Commission of Truth and Friendship with the country where Kotamadya is located?,Francisco Guterres,Xanana Gusmão
"In the King's Speech, who played the person who was the King of England in 1950?",Colin Firth,Colin Firth played the person who was the King of England in 1950.
What is the body of water by the area where Athlete was formed?,River Thames,Deptford Creek
What award did the author of The Happy Journey to Trenton and Camden receive?,Pulitzer Prize for Drama,"The author of The Happy Journey to Trenton and Camden, Thornton Wilder, received the Pulitzer Prize for Drama."
Where was the designer of the Lap Engine educated?,University of Glasgow,University of Glasgow
Who is the father of the Labo M performer?,Louis Chedid,Louis Chedid
Why did Roncalli leave the place of death of the maker of The Gozzi Altarpiece?,for the conclave in Rome,"Roncalli left the place of death of the maker of The Gozzi Altarpiece, which is the city of Ancona, Italy, because he was summoned to the Vatican to participate in the papal conclave"
Who gives out the award named after the person who argued that colonies were redundant?,University of Cambridge,Adam Smith Prize
"In 1990, who became the president of the country that Germany invaded?",Lech Wałęsa,Lech Wałęsa
What is the name for the mouth of the watercourse of the body of water by Rotterdam Centrum?,Het Scheur,Maasmond
"Who sings Home Alone Tonight with the singer of ""I Don't Want This Night to End""?",Karen Fairchild,"The question is based on a misinterpretation of the provided information. There is no mention of a song titled ""Home Alone Tonight"" being sung with the singer of ""I Don't Want This Night to End"" in the"
What company is the school where Lawrence Landweber was educated a part of?,City University of New York,Purdue University
What is the capital of the county that shares a border with the county where WAPL is licensed to broadcast?,Green Bay,Białystok
Who was the first black student admitted to where Robert Khayat was educated?,James Howard Meredith,James Meredith
Who did the original voice of the character played by mila kunis in the cleveland show?,Lacey Chabert,Nia Long
What is the record label of the co-writer and recording artist of Permission to Fly?,Hollywood Records,Ellahy Amen Records
What record label is the performer who released All Your Faded Things on?,Kill Rock Stars,Cold Crush Records
What is another notable work made by the author of Miss Sara Sampson?,Emilia Galotti,"Gotthold Ephraim Lessing's other notable work is ""Nathan the Wise."""
When did the majority party in the body which determines rules of the US House and US Senate gain control of the House?,the 2010 election,2010
In what year did Margaret Knox's spouse pass away?,1572,1956
The city where Dmitry Borisovich was born is located where in Russia?,Yaroslavl Oblast,Rostov
What league includes the operating group of Al Janoub Stadium?,Qatar Stars League,Major League Baseball (MLB)
When was the kingdom that Heptarchy was part of abolished?,918,1974
What is the average salary of a working person with the same nationality as the producer of The Wild Women of Chastity Gulch?,"$59,039","$47,807"
The city that Psycho Donuts is located in is in which county?,Santa Clara County,Santa Clara County
