Question,Real Answer,Pred Answer,em,f1,glm_correct,glm_reason
In what year was Twilight Princess from the game series on which The Legend of Neil was based originally planned for release?,2005,2005,1.0,1.0,True,预测答案“2005”与标准答案完全一致，准确地给出了《黄昏公主》最初计划发行的年份，包含了标准答案的关键信息，语义上完全等价，因此判断为正确。
What is the mascot of the school that owns Goss Stadium at Coleman Field?,Benny Beaver,Benny Beaver,1.0,1.0,True,预测答案“Benny Beaver”与标准答案完全一致，包含了标准答案的全部关键信息，语义上完全等价，准确地回答了关于学校吉祥物的问题。
Who is the spouse of the actor that plays vision in avengers age of ultron?,Jennifer Connelly,Jennifer Connelly,1.0,1.0,True,预测答案“Jennifer Connelly”与标准答案完全一致，准确包含了标准答案的关键信息，且在语义上完全等价，正确回答了关于《复仇者联盟2：奥创纪元》中幻视扮演者配偶的问题。
Who was the spouse of the leading lady in Gone With the wind?,Laurence Olivier,Laurence Olivier,1.0,1.0,True,预测答案“Laurence Olivier”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了关于《乱世佳人》女主角配偶的问题。
Who was the mother of the person who found the sacred writings that became the Book of Mormon?,Lucy Mack Smith,Lucy Mack Smith,1.0,1.0,True,预测答案“Lucy Mack Smith”与标准答案完全一致，准确包含了问题所要求的关键信息，即找到《摩门经》神圣著作的人（约瑟·斯密）的母亲是谁，语义完全等价。
Who is the mayor presiding now where Merrill Elam was born?,Lance Bottoms,Answer: Joseph Rakowski,0.0,0.0,False,预测答案“Joseph Rakowski”与标准答案“Lance Bottoms”完全不同，没有包含标准答案的任何关键信息，两者在语义上也不等价，因此未能正确回答问题。
What county shares a border with the county where She Did It's performer was born?,Cabarrus County,Rowan County,0.0,0.4,False,预测答案给出的县是“Rowan County”，而标准答案为“Cabarrus County”。两者指代的是不同的地理实体，预测答案没有包含标准答案的关键信息，且在语义上并不等价，因此判断为错误。
What is the experimental satellite which was the forerunner to the communication satellite of the operator of GSAT-7 called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6,0.0,0.25,True,预测答案“ATS-6”包含了标准答案“ATS - 6 (Applications Technology Satellite - 6)”的核心关键信息。两者在语义上完全等价，预测答案仅仅是省略了全称和连字符的空格差异，不影响对问题的正确回答。
What watercourse is the river on which the Lostock Dam is located the mouth of?,Hunter River,Paterson River,0.0,0.6666666666666666,False,预测答案给出的水道名称是“Paterson River”，而标准答案为“Hunter River”。两者指代的是完全不同的河流，预测答案没有包含标准答案的关键信息，在语义上也不等价，因此判断为错误。
There is a state A where Storm of the Century was filmed based on the book by the author who wrote a short story featuring the author of This Is My God. What is the population of state A?,"1,335,907","1,362,359",0.0,0.6666666666666666,False,"预测答案给出的州人口数为1,362,359，而标准答案为1,335,907。两者在数值上不一致，预测答案未能包含标准答案的关键信息，因此判定为错误。"
